State,County,lat,long,ID_loc
indiana,daviess,38.6776099,-87.08134840000001,115
indiana,de kalb,0.0,0.0,116
indiana,dearborn,39.1340338,-84.98209969999999,117
indiana,decatur,39.286212799999994,-85.49430579999999,118
indiana,delaware,40.219327500000006,-85.4040612,119
indiana,dubois,38.3644324,-86.8870278,120
indiana,elkhart,41.6819935,-85.9766671,121
indiana,fayette,39.619234999999996,-85.179378,122
indiana,floyd,38.299,-85.8933233593055,123
indiana,fountain,40.125252,-87.2497418,124
indiana,franklin,39.480605600000004,-86.0549863,125
indiana,fulton,41.0421416,-86.2875206,126
indiana,gibson,38.3079744,-87.57759490000001,127
indiana,grant,40.5114735,-85.6540606,128
indiana,greene,39.022710700000005,-86.99584890000001,129
indiana,hamilton,40.0749813,-86.0498885,130
indiana,hancock,39.8127873,-85.7874738,131
indiana,harrison,38.1816187,-86.1066917,132
indiana,hendricks,39.7565309,-86.5173641,133
indiana,henry,39.9297608,-85.4043542,134
indiana,howard,40.4787061,-86.1350343,135
indiana,huntington,40.8008286,-85.50184940000001,136
indiana,jackson,38.9023184,-86.06508559999999,137
indiana,jasper,41.0321808,-87.1066598,138
indiana,jay,40.4370864,-85.0212356,139
indiana,jefferson,38.8166724,-85.4299489,140
indiana,jennings,38.9957749,-85.63592009999999,141
indiana,johnson,39.4891804,-86.1079903,142
indiana,knox,38.687009,-87.3811461,143
indiana,kosciusko,41.235195700000006,-85.85297309999999,144
indiana,la porte,41.61059829999999,-86.72252270000001,145
indiana,lagrange,41.6372578,-85.4216948,146
indiana,lake,41.419382899999995,-87.36922270000001,147
indiana,lawrence,38.8400395,-86.4880717,148
indiana,madison,38.7374222,-85.3829812,149
indiana,marion,40.5583739,-85.6591442,150
indiana,marshall,41.322843,-86.2809625,151
indiana,martin,38.6705579,-86.8022436,152
indiana,miami,40.6144919,-86.10594429999999,153
indiana,monroe,39.129423700000004,-86.5187646,154
indiana,montgomery,40.0361447,-86.9007083,155
indiana,morgan,39.4665575,-86.45567940000001,156
indiana,newton,40.939576,-87.3966953,157
indiana,noble,41.3990708,-85.4193348,158
indiana,ohio,38.948049600000004,-84.9581728,159
indiana,orange,38.5421361,-86.4953216,160
indiana,owen,39.298451799999995,-86.85085620000001,161
indiana,parke,39.7686321,-87.2158436,162
indiana,perry,38.0893386,-86.632911,163
indiana,pike,38.415943299999995,-87.21414399999999,164
indiana,porter,41.445703200000004,-87.07249709999999,165
indiana,posey,38.0145359,-87.8543645,166
indiana,pulaski,41.031393,-86.69906920000001,167
indiana,putnam,39.6666195,-86.8374032,168
indiana,randolph,40.1560108,-85.011566,169
indiana,ripley,39.0846316,-85.26917840000002,170
indiana,rush,39.622035700000005,-85.4731911,171
indiana,scott,38.6727039,-85.7444145,172
indiana,shelby,39.493485,-85.81905959999999,173
indiana,spencer,38.0288806,-86.9976446,174
indiana,st. joseph,41.1052896,-85.1325566,175
indiana,starke,41.2753164,-86.64575649999999,176
indiana,steuben,41.6414101,-85.0023642,177
