,Cor_is,Iteration,Cor_train,test_RMSE,training_RMSE
0,0.4218575949965393,0.0,-0.2747957858966128,54.990196228027344,41.4615592956543
1,-0.14635265969418101,1000.0,-0.07419323576484482,34.99087142944336,22.127151489257812
2,0.14722999898176012,2000.0,-0.05064052003183959,25.155885696411133,14.201393127441406
3,0.12904882446926916,3000.0,-0.06689865439632602,19.713247299194336,10.853392601013184
4,-0.10833459911348227,4000.0,0.014390395199238027,17.92092514038086,10.412863731384277
5,0.1404420448042012,5000.0,0.17126757062631678,17.789045333862305,10.678848266601562
6,0.6685183672108533,6000.0,0.48462520660563174,17.03507423400879,9.889908790588379
7,0.7287991586546505,7000.0,0.8061697350724837,11.424588203430176,6.677614212036133
8,0.790751335564239,8000.0,0.8755115570456508,8.941601753234863,5.341657638549805
9,0.7885671591790221,9000.0,0.8732850263888936,7.783072471618652,5.411495685577393
10,0.8285842270945727,10000.0,0.8918337209197794,7.404609203338623,4.940434455871582
11,0.8364873653761721,11000.0,0.9073047389669338,6.979557037353516,4.711604118347168
12,0.8278267555540927,12000.0,0.9016403747003569,6.7759318351745605,4.514533519744873
13,0.8424180564374886,13000.0,0.9147396015061519,6.664829254150391,4.447110176086426
14,0.8436940013992864,14000.0,0.9205031500170933,6.861210823059082,4.256631374359131
15,0.8300072862605193,15000.0,0.9329390501515922,6.66377592086792,3.9886093139648438
16,0.8318833222617527,16000.0,0.9371484757271786,6.372023105621338,3.807985544204712
17,0.8411406026417009,17000.0,0.9275029928720976,6.331514835357666,4.020201206207275
18,0.8456831177073771,18000.0,0.9244754125849737,6.221765995025635,3.993549108505249
19,0.8259104496164436,19000.0,0.9291517838007215,7.136490821838379,4.0165019035339355
20,0.8496556489727973,20000.0,0.9446429897438202,6.416485786437988,3.5828161239624023
21,0.854563499469347,21000.0,0.942226955604274,6.558234691619873,3.6659512519836426
22,0.8524433238206196,22000.0,0.9394962662510082,6.525313377380371,3.821671962738037
23,0.8589893322552636,23000.0,0.941221653206299,6.125693321228027,3.6315817832946777
24,0.851081009669214,24000.0,0.9439657948847041,6.410587787628174,3.495863914489746
25,0.8609014550260032,25000.0,0.9307461332651429,6.106956958770752,3.8444056510925293
26,0.8291531522015781,26000.0,0.9418463274332864,6.633869647979736,3.6504390239715576
27,0.8607986933348989,27000.0,0.9388938882247457,6.491267681121826,3.527635097503662
